Sigla,Nome Completo,Tipo de serviço,Estado Operacional,Dados em Tempo Real (Operacional),Dados abertos,Comentário disponibilidade de dados,API,Comentário API ,Tipo de Interface,Tipo de Acesso,Descrição da Base de Dados,Tipo de Dados Oceanográficos,Exemplos de dados disponíveis,Instituição responsável pela base de dados,Cobertura Dados,Detalhe cobertura ,País,Link,Observações,Protocolos de Interoperabilidade,Contato responsável pelos dados,Tipo de licença de uso
AlgaeBase,AlgaeBase: Listing the World’s Algae,Agregador,Ativo,Nao,Sim,,Sim,https://api.algaebase.org/v1.3/,"Repositório, Portal de Dados, Catálogo","Portal Web, API","AlgaeBase é uma base de dados com informações sobre algas que abrange organismos terrestres, marinhos e de água doce. Para conveniência dos botânicos marinhos, também inclui as fanerógamas marinhas (cerca de 100 espécies), embora sejam plantas com flores.",Biológica,"Nomes de espécies, imagens, registros de ocorrência, distribuição.",AlgaeBase,Global,,Irlanda,https://www.algaebase.org/,,,,
Allen Coral Atlas,Allen Coral Atlas,Agregador,Ativo,Nao,Sim,,Sim,"WMS: https://allencoralatlas.org/geoserver/ows?service=wms&version=2.0.0&request=GetCapabilities
WFS: https://allencoralatlas.org/geoserver/ows?service=wfs&version=2.0.0&request=GetCapabilities
API: https://allencoralatlas.org/mapping/maps","Portal de Dados, Analítico, Ferramenta, Modelos","Portal Web, Visualização iterativa, WFS, WMS, API","O Allen Coral Atlas utiliza imagens de satélite de alta resolução e análises avançadas, em parceria com instituições globais, para mapear e monitorar recifes de corais com detalhamento sem precedentes.",Biológica,"Branqueamento de Corais, Turbidez, Mapeamento Bentônico, Mapeamento Geomorfológico, Extensao do Recife, Imagens de Satélite",Paul Allen Foundation,Global,,USA,https://allencoralatlas.org/,,,,
ANA,Agência Nacional de Águas,Provedor,Ativo,Nao,Sim,,Sim,API disponível com os dados de cada estação,"Repositório, Portal de Dados","Portal Web, API",Rede Hidrometeorológica (relevante para estuários e zonas costeiras),Geológica,"Dados hidrológicos, vazão, nível de rios, precipitação, qualidade da água",ANA,Nacional,,Brasil,https://www.snirh.gov.br/hidroweb/apresentacao,,,,
Animal Telemetry Network,Animal Telemetry Network,Agregador,Ativo,Quasi-operacional,Parcialmente,11 camadas de dados disponíveis para download; outros materiais apenas visualização,Indefinido,,"Ferramenta, Portal de Dados, Repositório","Portal Web, Visualização iterativa, THREDDS, OPeNDAP","O Telemetry Asset Inventory envolveu mais de 600 pesquisadores (investigadores principais em telemetria via satélite e acústica), que foram convidados pelo ATN a compartilhar informações sobre seus projetos por meio de questionários do Google.",Biológica,Movimento animal,Animal Telemetry Network,Global,,USA,Animal Telemetry Network,Armazenado pelo IOOS mas mantido pela Axiom Analytics,,,
AODN,Australian Ocean Data Network Portal,Agregador,Ativo,Sim,Sim,"Alguns conjuntos requerem registro, mas a maioria é aberta.",Indefinido,"Ana: Notícias no site revelam que existe um API, mas nao localizei documentacao","Repositório, Portal de Dados","Portal Web, API, Visualização iterativa","Portal nacional que fornece acesso a dados de ciências marinhas e climáticas da Austrália, sendo o ponto principal de acesso aos dados e metadados do IMOS (Integrated Marine Observing System).","Física, Geológica, Química, Biológica","Temperatura, Salinidade, Correntes, marés, ondas, nutrientes, oxigênio, clorofila, carbono, plâncton, dados meteorológicos oceânicos e metadados de sensores.",AODN,Global,,Austrália,https://portal.aodn.org.au/,,,info@aodn.org.au,
AquaDocs,AquaDocs,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"O AquaDocs é um repositório de acesso aberto do IODE/UNESCO e da IAMSLIC, com suporte da FAO, que reúne informações sobre ambientes marinhos, costeiros, estuarinos e de água doce, abrangendo ciência, tecnologia, gestão, conservação e aspectos socioeconômicos e legais desses ecossistemas e seus recursos.",Física,Multi-temáticos,IODE,Global,,Internacional,https://aquadocs.org/home?tl.page=1,,,,
Argo,Argo floats,Provedor,Ativo,Quasi-operacional,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa",O Argo é um programa internacional que coleta informações do interior do oceano por meio de uma frota de instrumentos robóticos que derivam com as Correntes oceânicas.,"Física, Química, Biológica","Temperatura, Salinidade, Pressão, Oxigênio, Retroespalhamento, Clorofila, pH, Nitrato, Irradiância",Argo Steering Team,Global,,Internacional,https://fleetmonitoring.euro-argo.eu/dashboard?Status=Active,,,,
BDCA,Banco de Dados de Caracterização Ambiental,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","O Banco de Dados de Caracterização Ambiental é um sistema que permite o armazenamento, consulta, e compartilhamento de dados ambientais","Física, Geológica, Química, Biológica","Qualidade de água, biota planctônica, cobertura do fundo, qualidade do sedimento, biota bentônica, biota bentônica, dados ambientais",IBAMA,Nacional,"Bacia Foz do Amazonas, Bacia Pará-Maranhão, Bacia Barreirinhas, Ceará, Campos e Santos",Brasil,https://bdca.com.br/,,,,
BIG-INPE,Base de Informações Georreferenciadas (BIG) do INPE,Agregador e Provedor,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","OGC, WMS, WFS, Portal Web, Outros","Como parte do aperfeiçoamento dos produtos e serviços disponibilizados pelo INPE à sociedade, o novo portal https://data.inpe.br faz parte da modernização da infraestrutura de serviços para acesso às imagens de satélites do acervo do instituto. Esse portal foi criado com o intuito de facilitar a pesquisa e obtenção das imagens disponibilizadas gratuitamente. Esse novo serviço tem como base protocolos modernos de compartilhamento de dados, adequados ao uso em ambientes de ciência de dados e computação em nuvem. Essa iniciativa é ancorada dentro do Programa Base de Informações Georreferenciadas (BIG) do INPE.","Física, Biológica",Multi-temáticos,INPE,Nacional,,Brasil,https://data.inpe.br/,,,,
BIO-ORACLE,BIO-ORACLE,Agregador,Ativo,Nao,Sim,,Sim,"dados estão arquivados em NetCDF e disponibilizados via ERDDAP, que é um servidor de dados interoperável com REST API.","Portal de Dados, Analítico, Modelos",Portal Web,"A Bio-ORACLE oferece camadas de dados essenciais físicas, químicas, biológicas e topográficas, com abrangência global e resolução uniforme, para modelagem da distribuição da biodiversidade marinha.",Biológica,"Temperatura, Salinidade, Oxigênio dissolvido, pH, Nitratos, Fosfatos, Silicatos, Clorofila-a, Turbidez, Irradiância, Correntes, Transporte, Ondas, Profundidade, Rugosidade do fundo, Cobertura de sedimentos",BIO-ORACLE,Global,,Internacional,https://www.bio-oracle.org/,,,,
